Data;Preço médio - recebido pelo agricultor - boi gordo - arroba - PR - R$ - Secretaria da Agricultura e do Abastecimento do Estado do Paraná, Departamento de Economia Rural (Seab-PR) - DERAL12_PRBGO12;
2014.04;118,9716;
2014.05;117,4382;
2014.06;116,9732;
2014.07;118,3556;
2014.08;119,742;
2014.09;125,6841;
2014.10;127,4858;
2014.11;136,4236;
2014.12;138,2947;
2015.01;138,9819;
2015.02;138,3249;
2015.03;140,7505;
2015.04;144,9307;
2015.05;145,3728;
2015.06;144,7888;
2015.07;144,6617;
2015.08;144,8944;
2015.09;145,0947;
2015.10;145,2749;
2015.11;146,6044;
2015.12;147,7546;
2016.01;148,7737;
2016.02;150,7532;
2016.03;151,5696;
2016.04;150,6338;
2016.05;145,8097;
2016.06;147,1123;
2016.07;147,4355;
2016.08;146,7027;
2016.09;147,2596;
2016.10;149,5015;
2016.11;149,5111;
2016.12;148,7866;
2017.01;148,7187;
2017.02;146,4797;
2017.03;143,4974;
2017.04;140,122;
2017.05;137,6968;
2017.06;130,5877;
2017.07;127,7957;
2017.08;128,6654;
2017.09;142,6781;
2017.10;139,0897;
2017.11;138,641;
2017.12;139,8168;
2018.01;141,2471;
2018.02;141,0693;
2018.03;141,4163;
2018.04;141,1923;
2018.05;139,4122;
2018.06;138,9715;
2018.07;141,1062;
2018.08;144,1369;
2018.09;146,7385;
2018.10;149,9001;
2018.11;149,5633;
2018.12;151,4878;
2019.01;151,0588;
2019.02;150,7419;
2019.03;150,5515;
2019.04;151,0894;
2019.05;150,3643;
2019.06;148,9768;
2019.07;150,0365;
2019.08;150,4691;
2019.09;150,5327;
2019.10;154,6095;
2019.11;185,1035;
2019.12;197,2198;
2020.01;184,0845;
2020.02;186,1037;
2020.03;188,8782;
2020.04;183,3405;
2020.05;181,6093;
2020.06;192,8431;
2020.07;209,5002;
2020.08;217,6797;
2020.09;233,3072;
2020.10;246,0475;
2020.11;272,0791;
2020.12;263,1763;
2021.01;271,115;
2021.02;283,843;
2021.03;288,1352;
2021.04;297,2561;
2021.05;295,8272;
2021.06;302,4883;
2021.07;309,2428;
2021.08;309,7442;
2021.09;304,0409;
2021.10;285,6311;
2021.11;287,0252;
2021.12;307,1145;
2022.01;313,9867;
2022.02;312,6662;
2022.03;315,0186;
2022.04;308,963;
2022.05;303,9493;
2022.06;296,4823;
2022.07;301,941;
2022.08;296,4479;
2022.09;287,1796;
2022.10;282,5455;
2022.11;277,5532;
2022.12;280,8106;
2023.01;276,2859;
2023.02;268,7681;
2023.03;273,0489;
2023.04;275,9417;
2023.05;255,3845;
2023.06;236,6104;
2023.07;280,7225;
2023.08;226,1592;
2023.09;203,9548;
